Claim ID,Payer,Service Type,Claim Volume,Processing Time (days),Authorization Requests,Authorization Turnaround Time (days),Claim Resubmission Rates (%),Administrative Staff Turnover Rate (%),Cost Per Authorization ($),Revenue Cycle Time (days),Payment Discrepancies ($),Patient Wait Times (days),Patient Retention Rates (%),Patient Health Outcomes (scale 1-10),Data Completeness (%),Data Timeliness (days),User Adoption Rates (%),Payer Response Time (days),Payer Reimbursement Rates (%),Payer Policy Change Frequency (times/year),System Downtime (hours),System Response Time (seconds),Integration Success Rates (%),Training Hours,Resource Utilization Rates (%),Staff Satisfaction (scale 1-10),Date
1001.0,Payer C,Cardiology,160.0,28.0,71.0,22.0,5.2,5.59,128.68,48.0,1930.37,12.0,78.61,9.0,89.26,2.0,66.49,39.0,64.17,,,1.05,,,57.51,8.0,2023-02-17
1002.0,Payer A,Oncology,102.0,21.0,,8.0,10.5,14.06,145.79,48.0,2371.61,13.0,,7.0,94.36,2.0,76.28,31.0,93.66,,4.0,1.29,96.87,47.0,,8.0,2021-11-13
1003.0,Payer C,,227.0,37.0,58.0,13.0,7.19,6.89,,53.0,30000.0,10.0,88.69,6.0,94.39,,,30.0,77.67,3.0,2.0,1.94,81.41,45.0,89.37,6.0,2020-04-20
1004.0,Payer C,Oncology,278.0,28.0,59.0,20.0,18.2,7.57,89.21,50.0,2327.11,10.0,70.12,5.0,89.59,1.0,89.01,10.0,80.42,3.0,0.0,2.96,95.7,11.0,64.37,6.0,2023-07-03
1005.0,Payer A,Cardiology,185.0,25.0,36.0,8.0,11.38,5.53,134.41,46.0,,5.0,77.41,9.0,90.46,2.0,82.45,,68.35,3.0,1.0,2.66,86.89,15.0,58.82,6.0,2023-12-16
1006.0,Payer A,Oncology,146.0,30.0,62.0,20.0,20.34,14.65,130.69,56.0,4821.92,9.0,85.59,8.0,80.6,1.0,60.17,16.0,53.02,3.0,2.0,,74.71,22.0,69.67,5.0,
1007.0,Payer C,Cardiology,295.0,120.0,36.0,23.0,9.14,13.52,112.48,33.0,2253.64,7.0,,7.0,86.09,2.0,,10.0,53.76,1.0,,4.78,94.89,38.0,61.67,7.0,2023-04-23
1008.0,Payer B,Oncology,,25.0,53.0,5.0,23.0,14.13,76.94,36.0,30000.0,11.0,71.78,6.0,86.92,1.0,62.29,,71.02,2.0,,2.57,97.24,23.0,,6.0,2021-07-06
,Payer C,Cardiology,137.0,32.0,40.0,27.0,,13.47,78.4,34.0,1915.43,13.0,90.71,7.0,91.17,3.0,63.04,34.0,58.87,3.0,,4.18,,39.0,74.66,9.0,
1010.0,Payer C,Cardiology,263.0,30.0,,10.0,7.29,9.8,62.4,55.0,30000.0,10.0,81.32,9.0,,2.0,71.49,25.0,55.21,1.0,0.0,3.55,97.92,34.0,,8.0,2022-09-11
1011.0,Payer C,Oncology,268.0,33.0,41.0,14.0,13.02,,,58.0,3075.98,9.0,91.39,,,4.0,70.15,,63.11,3.0,1.0,1.97,88.04,49.0,70.36,8.0,2023-06-14
,Payer C,Surgery,296.0,21.0,64.0,20.0,9.14,14.69,67.29,45.0,3690.05,11.0,90.59,8.0,94.34,1.0,63.41,39.0,87.1,1.0,2.0,4.72,70.78,44.0,65.5,9.0,2023-09-10
1013.0,Payer A,Radiology,240.0,27.0,33.0,8.0,,10.03,107.29,35.0,1177.33,13.0,92.33,5.0,84.7,3.0,86.47,17.0,53.65,,3.0,,86.25,46.0,71.3,8.0,2023-11-01
1014.0,Payer C,Surgery,186.0,22.0,,26.0,15.13,6.76,108.44,43.0,30000.0,9.0,71.21,9.0,95.4,4.0,78.46,26.0,72.41,3.0,2.0,4.48,93.9,16.0,62.82,5.0,2022-04-28
,Payer B,Oncology,157.0,22.0,57.0,26.0,18.44,11.59,86.96,55.0,2822.73,9.0,74.65,,80.39,3.0,83.89,,,1.0,2.0,3.55,,47.0,72.81,9.0,2021-05-17
1016.0,Payer A,,149.0,20.0,42.0,17.0,23.23,14.75,,49.0,2324.02,14.0,77.4,5.0,,2.0,71.15,28.0,63.4,1.0,3.0,3.48,,27.0,53.27,5.0,2021-04-01
,Payer B,Cardiology,129.0,38.0,52.0,20.0,15.04,13.72,116.86,31.0,3850.48,8.0,73.41,,82.04,4.0,,13.0,65.09,2.0,3.0,,96.39,17.0,,,2021-02-10
1018.0,Payer B,Radiology,289.0,37.0,48.0,24.0,24.32,13.62,88.83,54.0,,9.0,82.14,,94.59,1.0,69.53,37.0,94.21,3.0,1.0,2.98,96.09,16.0,59.5,9.0,2021-11-22
1019.0,,Oncology,200.0,36.0,71.0,10.0,23.83,14.34,75.51,47.0,1641.44,11.0,89.97,6.0,90.54,1.0,,13.0,82.5,3.0,4.0,4.41,75.37,43.0,,9.0,2022-10-15
1020.0,,Oncology,124.0,,66.0,15.0,,13.94,89.91,47.0,,7.0,93.78,8.0,88.75,4.0,,17.0,,2.0,1.0,3.2,82.81,45.0,65.93,9.0,2023-01-16
1021.0,Payer A,Oncology,211.0,32.0,68.0,28.0,,12.76,,42.0,2171.62,8.0,92.24,6.0,93.81,1.0,74.79,19.0,64.46,2.0,3.0,,,,75.25,8.0,2023-02-02
1022.0,Payer A,Radiology,254.0,22.0,53.0,7.0,7.82,12.18,146.65,57.0,3924.52,13.0,81.43,9.0,80.73,3.0,85.14,35.0,99.84,,0.0,3.64,87.85,,75.15,8.0,2022-06-02
1023.0,Payer B,Cardiology,278.0,20.0,45.0,24.0,9.36,7.65,113.6,,30000.0,6.0,85.91,6.0,84.47,4.0,87.0,38.0,57.04,,0.0,2.5,98.64,38.0,,8.0,2022-08-23
1024.0,Payer B,Oncology,284.0,23.0,62.0,14.0,17.95,11.21,128.21,,4852.63,12.0,75.77,5.0,,,74.09,25.0,98.1,1.0,2.0,,75.46,25.0,57.26,6.0,2020-09-13
1025.0,Payer A,Surgery,225.0,120.0,41.0,,13.44,10.21,103.28,42.0,2994.03,13.0,80.08,5.0,96.94,,67.19,28.0,,2.0,2.0,3.04,82.11,34.0,73.28,,2023-03-03
1026.0,Payer A,Oncology,,36.0,,,7.94,13.62,,57.0,3463.34,9.0,91.78,7.0,87.62,1.0,88.36,10.0,77.59,3.0,,4.22,,38.0,88.66,7.0,2022-08-09
1027.0,Payer A,Oncology,146.0,30.0,36.0,15.0,14.58,9.92,,41.0,2339.51,11.0,70.73,7.0,85.18,3.0,82.05,14.0,79.26,,4.0,4.33,92.5,17.0,57.42,9.0,2023-08-01
1028.0,Payer C,,217.0,,40.0,16.0,5.35,6.28,93.84,32.0,30000.0,10.0,83.32,8.0,90.37,2.0,79.2,11.0,88.75,2.0,4.0,3.47,,29.0,52.76,8.0,2021-01-21
,Payer C,Oncology,138.0,35.0,60.0,,19.68,5.05,56.63,51.0,2853.53,5.0,91.82,5.0,92.45,3.0,82.36,38.0,65.34,1.0,4.0,4.49,82.85,45.0,60.58,9.0,2022-06-14
1030.0,Payer C,Cardiology,115.0,21.0,58.0,29.0,6.47,11.78,145.7,,2750.61,12.0,73.05,7.0,88.4,1.0,62.28,36.0,76.37,1.0,20.0,2.61,99.64,,,5.0,2021-09-12
1031.0,Payer B,Surgery,121.0,38.0,42.0,12.0,17.58,10.5,129.31,30.0,4421.87,13.0,94.56,6.0,97.53,3.0,62.03,25.0,,2.0,3.0,1.23,83.6,22.0,62.25,5.0,2020-12-09
1032.0,Payer C,Cardiology,153.0,38.0,60.0,15.0,,8.31,89.83,59.0,1200.68,14.0,70.31,8.0,90.47,1.0,64.59,22.0,53.41,3.0,4.0,3.65,88.88,35.0,83.39,8.0,2021-03-01
1033.0,Payer B,Surgery,248.0,35.0,31.0,8.0,7.65,6.69,148.24,34.0,4527.85,5.0,92.15,9.0,80.72,4.0,64.42,39.0,95.28,3.0,1.0,,91.03,,69.72,,2023-03-06
1034.0,,Oncology,299.0,,68.0,11.0,15.37,9.67,84.55,50.0,4408.28,12.0,78.84,7.0,84.46,,72.62,15.0,86.44,1.0,20.0,1.29,,37.0,59.85,7.0,2022-04-28
1035.0,Payer C,Radiology,115.0,28.0,,14.0,20.58,6.0,87.21,30.0,3025.47,7.0,73.32,,89.01,2.0,64.72,13.0,88.49,3.0,20.0,4.08,85.56,18.0,88.01,,2022-01-16
1036.0,Payer B,Cardiology,158.0,20.0,40.0,,10.21,8.36,110.97,33.0,2960.81,10.0,73.93,5.0,93.95,3.0,85.64,34.0,53.24,3.0,2.0,3.56,73.98,35.0,55.0,9.0,2020-10-20
1037.0,Payer C,Radiology,,120.0,63.0,29.0,8.26,8.79,77.43,55.0,2447.23,14.0,87.53,8.0,84.4,2.0,77.34,16.0,59.39,2.0,1.0,1.47,,21.0,54.92,6.0,2022-12-01
1038.0,Payer C,Cardiology,269.0,,68.0,8.0,11.74,9.66,119.86,30.0,4976.7,12.0,91.77,,99.53,,71.05,11.0,96.26,2.0,4.0,3.16,98.0,35.0,59.81,8.0,2022-12-09
1039.0,Payer A,Oncology,131.0,120.0,33.0,6.0,,9.67,65.29,42.0,1444.68,,86.03,5.0,86.37,3.0,62.09,32.0,,2.0,,,98.25,31.0,53.07,6.0,2022-02-20
1040.0,Payer C,Cardiology,286.0,21.0,40.0,25.0,16.51,7.57,60.8,43.0,3360.86,12.0,93.22,8.0,90.65,3.0,77.73,19.0,81.56,3.0,2.0,2.29,87.8,10.0,,5.0,2023-04-11
1041.0,Payer A,Oncology,261.0,35.0,58.0,22.0,7.62,13.5,103.49,44.0,3726.73,11.0,,,,2.0,63.5,23.0,89.13,3.0,,4.22,84.77,21.0,62.51,8.0,2020-10-15
1042.0,Payer C,,108.0,,,,14.15,8.56,105.55,46.0,4737.32,11.0,70.23,7.0,97.7,2.0,82.3,17.0,61.56,2.0,0.0,1.4,80.02,33.0,79.19,8.0,2023-03-31
1043.0,Payer C,Oncology,238.0,120.0,45.0,20.0,10.37,,60.67,41.0,4120.81,11.0,86.74,,95.78,3.0,84.08,12.0,84.94,3.0,0.0,2.84,73.11,,80.51,,2021-08-01
1044.0,Payer A,Oncology,109.0,37.0,68.0,26.0,21.84,6.76,146.42,36.0,3575.39,13.0,77.62,7.0,83.91,3.0,76.32,12.0,53.28,2.0,3.0,3.42,96.49,23.0,59.5,6.0,2023-09-25
1045.0,Payer A,Surgery,116.0,21.0,42.0,15.0,11.27,8.23,107.33,52.0,1467.25,10.0,81.36,8.0,,3.0,64.49,36.0,,1.0,,4.76,74.11,32.0,70.73,,2020-11-18
1046.0,Payer C,Oncology,167.0,32.0,66.0,14.0,21.77,5.68,65.1,48.0,2494.93,10.0,72.35,6.0,86.32,2.0,83.61,11.0,66.72,1.0,4.0,3.95,78.64,11.0,70.78,6.0,2020-11-21
1047.0,Payer B,Surgery,147.0,25.0,46.0,,13.57,5.33,81.14,52.0,1555.37,13.0,77.05,9.0,93.84,1.0,69.23,37.0,82.29,3.0,0.0,,92.21,12.0,84.85,9.0,2022-01-02
1048.0,Payer A,Oncology,279.0,120.0,50.0,18.0,19.53,11.05,130.02,32.0,4524.85,10.0,,6.0,96.38,4.0,66.68,26.0,,3.0,1.0,4.88,91.14,15.0,,,2023-04-05
1049.0,Payer B,Radiology,,28.0,73.0,26.0,15.2,11.19,102.32,47.0,,11.0,75.46,8.0,94.82,4.0,74.12,28.0,56.27,3.0,0.0,2.91,90.43,28.0,62.67,7.0,2022-01-04
1050.0,Payer B,,,35.0,,8.0,,,68.81,55.0,4030.15,,86.19,6.0,,2.0,87.68,19.0,72.52,3.0,0.0,2.48,92.25,30.0,85.3,7.0,2020-06-15
1051.0,Payer B,Radiology,222.0,30.0,36.0,23.0,12.91,12.62,60.28,33.0,30000.0,6.0,93.08,9.0,97.29,3.0,68.92,21.0,71.16,1.0,1.0,,86.26,29.0,59.47,9.0,2023-10-24
1052.0,Payer A,Radiology,,26.0,67.0,6.0,20.36,5.39,93.08,59.0,30000.0,,70.12,5.0,99.89,,87.17,36.0,66.19,2.0,4.0,,74.65,30.0,55.48,9.0,2020-03-25
1053.0,,Oncology,200.0,29.0,37.0,11.0,13.5,14.36,,55.0,1599.88,10.0,89.64,6.0,83.65,4.0,61.61,32.0,74.01,1.0,,3.34,99.95,49.0,73.05,9.0,
1054.0,Payer A,Radiology,201.0,29.0,42.0,13.0,14.15,5.95,,32.0,,8.0,86.03,8.0,86.1,4.0,62.51,20.0,94.04,2.0,3.0,,96.76,13.0,62.24,5.0,2022-05-14
1055.0,Payer B,Surgery,164.0,39.0,66.0,23.0,,11.74,142.52,41.0,1547.66,,71.17,6.0,92.72,4.0,,18.0,98.68,3.0,2.0,1.7,,34.0,68.69,,2022-12-09
1056.0,,Cardiology,290.0,37.0,31.0,20.0,21.64,6.33,74.77,52.0,3899.65,12.0,,9.0,94.66,3.0,65.72,,50.14,2.0,4.0,3.18,,16.0,82.8,9.0,2021-04-02
1057.0,Payer C,Oncology,150.0,120.0,70.0,26.0,,13.8,135.52,57.0,30000.0,5.0,,8.0,90.69,2.0,69.5,34.0,,2.0,4.0,1.44,81.81,16.0,70.83,7.0,2021-01-06
